event,date,label,image
http://www.wikidata.org/entity/Q16840391,1892-01-01 00:00:00+00:00,"Grover Cleveland presidential campaign, 1892",
http://www.wikidata.org/entity/Q2935437,1892-04-01 00:00:00+00:00,Congo–Arab War,
http://www.wikidata.org/entity/Q7556163,1893-04-16 00:00:00+00:00,"solar eclipse of April 16, 1893",
http://www.wikidata.org/entity/Q7539246,1894-07-31 00:00:00+00:00,Slavery and States' Rights,
http://www.wikidata.org/entity/Q5887721,1894-10-24 00:00:00+00:00,Peruvian Civil War of 1894–1895,
http://www.wikidata.org/entity/Q1514908,1895-02-24 00:00:00+00:00,Cuban War of Independence,
http://www.wikidata.org/entity/Q8013553,1896-01-01 00:00:00+00:00,"William Jennings Bryan presidential campaign, 1896",
http://www.wikidata.org/entity/Q3247561,1896-07-09 00:00:00+00:00,Cross of Gold speech,
http://www.wikidata.org/entity/Q7556252,1896-08-09 00:00:00+00:00,"solar eclipse of August 9, 1896",
http://www.wikidata.org/entity/Q2887801,1896-12-04 00:00:00+00:00,Adibo dali,
http://www.wikidata.org/entity/Q7556350,1898-01-22 00:00:00+00:00,"solar eclipse of January 22, 1898",
http://www.wikidata.org/entity/Q5887712,1899-01-01 00:00:00+00:00,Federal Revolution of 1899,
http://www.wikidata.org/entity/Q7556537,1900-05-28 00:00:00+00:00,"solar eclipse of May 28, 1900",
http://www.wikidata.org/entity/Q449661,1900-07-27 00:00:00+00:00,Hun speech,
http://www.wikidata.org/entity/Q27958841,1901-02-02 00:00:00+00:00,state funeral of Queen Victoria,
http://www.wikidata.org/entity/Q7556516,1901-05-18 00:00:00+00:00,"solar eclipse of May 18, 1901",
http://www.wikidata.org/entity/Q7556559,1901-11-11 00:00:00+00:00,"solar eclipse of November 11, 1901",
http://www.wikidata.org/entity/Q7556192,1902-04-08 00:00:00+00:00,"solar eclipse of April 8, 1902",
http://www.wikidata.org/entity/Q7556547,1902-05-07 00:00:00+00:00,"solar eclipse of May 7, 1902",
http://www.wikidata.org/entity/Q7556639,1902-10-31 00:00:00+00:00,"solar eclipse of October 31, 1902",
http://www.wikidata.org/entity/Q43378,1902-11-21 00:00:00+00:00,Thousand Days' War,
http://www.wikidata.org/entity/Q7556489,1903-03-29 00:00:00+00:00,"solar eclipse of March 29, 1903",
http://www.wikidata.org/entity/Q7556656,1903-09-21 00:00:00+00:00,"solar eclipse of September 21, 1903",
http://www.wikidata.org/entity/Q16512674,1904-01-01 00:00:00+00:00,Herero Wars,
http://www.wikidata.org/entity/Q7556470,1904-03-17 00:00:00+00:00,"solar eclipse of March 17, 1904",
http://www.wikidata.org/entity/Q7556680,1904-09-09 00:00:00+00:00,"solar eclipse of September 9, 1904",
http://www.wikidata.org/entity/Q7556499,1905-03-06 00:00:00+00:00,"solar eclipse of March 6, 1905",
http://www.wikidata.org/entity/Q7556241,1905-08-30 00:00:00+00:00,"solar eclipse of August 30, 1905",
http://www.wikidata.org/entity/Q7556310,1906-02-23 00:00:00+00:00,"solar eclipse of February 23, 1906",
http://www.wikidata.org/entity/Q7556393,1906-07-21 00:00:00+00:00,"solar eclipse of July 21, 1906",
http://www.wikidata.org/entity/Q7556229,1906-08-20 00:00:00+00:00,"solar eclipse of August 20, 1906",
http://www.wikidata.org/entity/Q7556343,1907-01-14 00:00:00+00:00,"solar eclipse of January 14, 1907",
http://www.wikidata.org/entity/Q7556377,1907-07-10 00:00:00+00:00,"solar eclipse of July 10, 1907",
http://www.wikidata.org/entity/Q7556365,1908-01-03 00:00:00+00:00,"solar eclipse of January 3, 1908",
http://www.wikidata.org/entity/Q7556450,1908-06-28 00:00:00+00:00,"solar eclipse of June 28, 1908",
http://www.wikidata.org/entity/Q7556278,1908-12-23 00:00:00+00:00,"solar eclipse of December 23, 1908",
http://www.wikidata.org/entity/Q7556428,1909-06-17 00:00:00+00:00,"solar eclipse of June 17, 1909",
http://www.wikidata.org/entity/Q7556261,1909-12-12 00:00:00+00:00,"solar eclipse of December 12, 1909",
http://www.wikidata.org/entity/Q7556545,1910-05-09 00:00:00+00:00,"solar eclipse of May 9, 1910",
http://www.wikidata.org/entity/Q5509126,1910-05-20 00:00:00+00:00,Death and state funeral of Edward VII,
http://www.wikidata.org/entity/Q6796262,1910-05-24 00:00:00+00:00,May 1910 lunar eclipse,
http://www.wikidata.org/entity/Q7556571,1910-11-02 00:00:00+00:00,"solar eclipse of November 2, 1910",
http://www.wikidata.org/entity/Q7556177,1911-04-28 00:00:00+00:00,"solar eclipse of April 28, 1911",
http://www.wikidata.org/entity/Q7556618,1911-10-22 00:00:00+00:00,"solar eclipse of October 22, 1911",
http://www.wikidata.org/entity/Q16573193,1911-12-01 00:00:00+00:00,Dominican Civil War of 1911–12,
http://www.wikidata.org/entity/Q929952,1912-04-17 00:00:00+00:00,"solar eclipse of April 17, 1912",
http://www.wikidata.org/entity/Q165725,1912-10-08 00:00:00+00:00,Balkan Wars,
http://www.wikidata.org/entity/Q7556598,1912-10-10 00:00:00+00:00,"solar eclipse of October 10, 1912",
http://www.wikidata.org/entity/Q618677,1913-04-06 00:00:00+00:00,"solar eclipse of April 6, 1913",
http://www.wikidata.org/entity/Q7556245,1913-08-31 00:00:00+00:00,"solar eclipse of August 31, 1913",
http://www.wikidata.org/entity/Q7452100,1913-09-15 00:00:00+00:00,September 1913 lunar eclipse,
http://www.wikidata.org/entity/Q7556674,1913-09-30 00:00:00+00:00,"solar eclipse of September 30, 1913",
http://www.wikidata.org/entity/Q1796473,1914-02-06 00:00:00+00:00,Courtyard Speech,
http://www.wikidata.org/entity/Q7556312,1914-02-25 00:00:00+00:00,"solar eclipse of February 25, 1914",
http://www.wikidata.org/entity/Q16000641,1914-03-12 00:00:00+00:00,March 1914 lunar eclipse,
http://www.wikidata.org/entity/Q166210,1914-04-09 00:00:00+00:00,Tampico Affair,
http://www.wikidata.org/entity/Q7811223,1914-07-28 00:00:00+00:00,To my peoples,
http://www.wikidata.org/entity/Q2301900,1914-08-21 00:00:00+00:00,"solar eclipse of August 21, 1914",
http://www.wikidata.org/entity/Q2301900,1914-08-21 00:00:00+00:00,"solar eclipse of August 21, 1914",
http://www.wikidata.org/entity/Q7556298,1915-02-14 00:00:00+00:00,"solar eclipse of February 14, 1915",
http://www.wikidata.org/entity/Q7556201,1915-08-10 00:00:00+00:00,"solar eclipse of August 10, 1915",
http://www.wikidata.org/entity/Q1345258,1915-12-25 00:00:00+00:00,National Protection War,
http://www.wikidata.org/entity/Q7556328,1916-02-03 00:00:00+00:00,"solar eclipse of February 3, 1916",
http://www.wikidata.org/entity/Q21028129,1916-07-15 00:00:00+00:00,July 1916 lunar eclipse,
http://www.wikidata.org/entity/Q7556400,1916-07-30 00:00:00+00:00,"solar eclipse of July 30, 1916",
http://www.wikidata.org/entity/Q7556280,1916-12-24 00:00:00+00:00,"solar eclipse of December 24, 1916",
http://www.wikidata.org/entity/Q7556353,1917-01-23 00:00:00+00:00,"solar eclipse of January 23, 1917",
http://www.wikidata.org/entity/Q7556432,1917-06-19 00:00:00+00:00,"solar eclipse of June 19, 1917",
http://www.wikidata.org/entity/Q7556384,1917-07-19 00:00:00+00:00,"solar eclipse of July 19, 1917",
http://www.wikidata.org/entity/Q2479606,1917-11-08 00:00:00+00:00,Ukrainian War of Independence,
http://www.wikidata.org/entity/Q7556267,1917-12-14 00:00:00+00:00,"solar eclipse of December 14, 1917",
http://www.wikidata.org/entity/Q211855,1918-05-15 00:00:00+00:00,Finnish Civil War,
http://www.wikidata.org/entity/Q7556458,1918-06-08 00:00:00+00:00,"solar eclipse of June 8, 1918",
http://www.wikidata.org/entity/Q361,1918-11-11 00:00:00+00:00,World War I,
http://www.wikidata.org/entity/Q1127302,1918-11-28 00:00:00+00:00,Estonian War of Independence,
http://www.wikidata.org/entity/Q7556292,1918-12-03 00:00:00+00:00,"solar eclipse of December 3, 1918",
http://www.wikidata.org/entity/Q4680069,1919-01-01 00:00:00+00:00,Adam v Ward,
http://www.wikidata.org/entity/Q208297,1919-01-21 00:00:00+00:00,Irish War of Independence,
http://www.wikidata.org/entity/Q2035756,1919-05-29 00:00:00+00:00,"solar eclipse of May 29, 1919",
