Date,Event Description
,19th century
,20th century
,21st century
,19th century
,20th century
,21st century
,19th century
,20th century
,21st century
,1900s
,1910s
,1920s
,1930s
,1940s
,1950s
,1960s
,1970s
,1980s
,1990s
,
,
,
1901,The Australian colonies federate.
1901,Edward VII became King of England and India after Queen Victoria's death.
1901,The Platt Amendment provides for Cuban independence in exchange for the withdrawal of American troops.
1901,Emily Hobhouse reports on the poor conditions in 45 British internment camps for Boer women and children in South Africa.
1901,The assassination of William McKinley ushered in office Vice President Theodore Roosevelt after McKinley's death on September 14.
1901,"The Eight-Nation Alliance defeats the Boxer Rebellion, and imposes heavy financial penalties on China."
1901,First Nobel Prizes awarded.
1901,Guglielmo Marconi received the first transatlantic radio signal.
1902,The Unification of Saudi Arabia begins.
1902,Cuba given independence by the United States.
1902,Second Boer War ends in British victory.
1902,Arthur Balfour becomes Prime Minister of the United Kingdom.
1902,Willis Carrier invents the first modern electrical air conditioning unit.
1902,"crisis of 1902–1903, in which Britain, Germany and Italy impose a naval blockade on Venezuela in order to enforce collection of outstanding financial claims."
1903,The first teddy bear is invented.
1903,King Alexander I of Serbia and his wife Queen Draga are assassinated in a military coup.
1903,The first Tour de France is held.
1903,In Russia the Bolsheviks and the Mensheviks form from the breakup of the Russian Social Democratic Labour Party.
1903,Pius X becomes Pope.
1903,"Independence of Panama, the Hay–Bunau-Varilla Treaty is signed by the United States and Panama."
1903,First controlled heavier-than-air flight of the Wright brothers.
1903,Ottoman Empire and the German Empire sign an agreement to build the Constantinople-Baghdad Railway.
1904,A Japanese surprise attack on Port Arthur (Lushun) starts the Russo-Japanese War.
1904,Entente Cordiale signed between Britain and France.
1904,U.S. begins construction of the Panama Canal and eradication of yellow fever.
1904,Trans-Siberian Railway is completed.
1904,"and Nama genocide, the first genocide of the 20th century, begins in German South West Africa."
1904,Casement publishes his account of Belgian atrocities in the Congo Free State.
1905,The Revolution of 1905 in Russia erupts.
1905,"The First Moroccan Crisis begins, going until May 1906."
1905,"The Norwegian Parliament declares the union with Sweden dissolved, and Norway achieves full independence."
1905,The Russo-Japanese War ends in Japanese victory.
1905,Albert Einstein's formulation of special relativity.
1905,"The British Indian Province of Bengal, partitioned by the Viceroy of India, Lord Curzon, despite strong opposition."
1905,Liberal Henry Campbell-Bannerman becomes Prime Minister of the United Kingdom.
1905,Plan proposed in Berlin to defeat France.
1905,Persian Constitutional Revolution begins.
1906,"An earthquake in San Francisco, California, magnitude 7.9, kills 3,000."
1906,Alfred Dreyfus is exonerated and reinstated as a major in the French Army; the Dreyfus affair ends.
1906,"An earthquake in Valparaíso, Chile, magnitude 8.2, kills 20,000."
1906,The US begins the Second Occupation of Cuba.
1906,Brazilian inventor Alberto Santos-Dumont takes off and flies his 14-bis to a crowd in Paris.
1906,The Muslim League is formed by Nawab Salimullah Khan of Dacca.
1906,Stolypin reform in Russia creates a new class of affluent kulaks.
1907,"A peasants' revolt in Romania kills roughly 11,000."
1907,"– 16: Elections to the new Parliament of Finland are the first in the world with woman candidates, as well as the first elections in Europe where universal suffrage is applied."
1907,Japan–Korea Treaty of 1907.
1907,The Anglo-Russian Entente bring an end to the Great Game in Central Asia.
1907,"Indian National Congress splits into two factions at its Surat session, presided by Rash Behari Bose."
1907,Constitutional Revolution ends with the establishment of a parliament.
1907,", the world's first fully synthetic plastic, invented in New York by Leo Baekeland, who coins the term ""plastics""."
1908,Liberal H. H. Asquith becomes Prime Minister of the United Kingdom.
1908,"First commercial Middle Eastern oilfield established, at Masjed Soleyman in southwest Persia."
1908,The Tunguska event devastates thousands of square kilometres of Siberia.
1908,Young Turk Revolution in the Ottoman Empire.
1908,Founding of the Bureau of Investigation (BOI)
1908,The Ford Motor Company invents the Model T.
1908,"October: Austria-Hungary annexes Bosnia-Herzegovina, triggering the Bosnian Crisis."
1908,Independence of Bulgaria.
1908,"Puyi, the last Emperor of China, assumes the throne."
1908,"The 1908 Messina earthquake in southern Italy, magnitude 7.1, kills 70,000 people."
1908,and Nama genocide ends.
1908,commercial radio transmissions.
1908,coldest year since 1880 according to NASA.
1909,William Howard Taft is inaugurated as President of the United States; deep divisions in his Republican Party over tariffs.
1909,Anglo-Siamese Treaty of 1909 signed (effective on July 9).
1909,Indian Councils Act passed.
1909,Robert Peary claims to have reached the North Pole though the claim is subsequently heavily contested.
1909,A countercoup fails in the Ottoman Empire.
1909,"A revolution forces Mohammad Ali Shah Qajar, Persian Shah of the Qajar dynasty to abdicate in favor of his son Ahmad Shah Qajar."
1909,and China sign the Jiandao/Gando Treaty.
1909,States troops leave Cuba.
1910,Boy Scouts of America is founded.
1910,Halley's Comet returns.
1910,Albanian revolt of 1910.
1910,George V becomes King of the United Kingdom and the British Dominions and Emperor of India upon the death of Edward VII.
1910,Union of South Africa is created.
1910,Kingdom of Montenegro is proclaimed independent.
1910,Imperial Japan annexes Korea.
1910,The 5 October 1910 revolution in Portugal and proclamation of the First Portuguese Republic.
1910,Beginning of the Mexican Revolution (Plan of San Luis Potosí).
1911,"Eugene Burton Ely lands on the deck of the USS Pennsylvania stationed in San Francisco harbor, marking the first time an aircraft lands on a ship."
1911,Triangle Shirtwaist Factory fire in New York City results in the deaths of 146 workers and leads to sweeping workplace safety reforms.
1911,Agadir Crisis.
1911,"The Italo-Turkish war which led to the capture of Libya by Italy, begins."
1911,"1911 Revolution, which overthrew the Qing dynasty of China, begins."
1911,"Swiss race car driver and automotive engineer Louis Chevrolet co-founds the Chevrolet Motor Company in Detroit with his brother Arthur Chevrolet, William C. Durant and others."
1911,New Delhi becomes the capital of British India.
1911,Roald Amundsen first reaches the South Pole.
1911,Rutherford identifies the atomic nucleus.
1912,The African National Congress is founded.
1912,End of the Chinese Empire. Republic of China established.
1912,Arizona becomes the last state to be admitted to the continental Union.
1912,Captain Scott and his companions die in a blizzard on their way back from the South Pole.
1912,Morocco becomes a protectorate of France.
1912,Sinking of the RMS Titanic.
1912,"Emperor Meiji dies, ending the Meiji era; his son, the Emperor Taishō, becomes Emperor of Japan."
1912,"The Kuomintang, the Chinese nationalist party, is founded."
1912,The First Balkan War begins.
1912,Wars: United States occupation of Nicaragua begins.
1913,"In the 1913 Ottoman coup d'état, Ismail Enver comes to power."
1913,– 19: La Decena Trágica in Mexico City.
1913,Woodrow Wilson is inaugurated as President of the United States.
1913,Igor Stravinsky's The Rite of Spring infamously premiers in Paris which causes a riot.
1913,Treaty of London.
1913,Second Balkan War.
1913,Treaty of Bucharest.
1913,Ford Motor Company introduces the first moving assembly line.
1913,The Federal Reserve System is created.
1913,Shikai uses military force to dissolve China's parliament and rules as a dictator.
1913,"Bohr formulates the first cohesive model of the atomic nucleus, and in the process paves the way to quantum mechanics."
1914,"Gavrilo Princip assassinates Archduke Franz Ferdinand of Austria in Sarajevo, triggering the start of World War I that day."
1914,Panama Canal opens.
1914,– 30: Battle of Tannenberg.
1914,"Martha, last known passenger pigeon, dies."
1914,Benedict XV becomes Pope.
1914,– 12: First Battle of the Marne.
1914,The Race to the Sea leaves Germany and the Allies entrenched along the Western Front.
1914,The United Kingdom establishes the Sultanate of Egypt as a protectorate.
1914,The Christmas truce is celebrated by the Germans and the British along the Western Front.
1915,"Second Battle of Ypres begins, first widespread use of poison gas."
1915,The deportation of Armenian leaders and notables in Constantinople signals the onset of the Armenian genocide.
1915,Sinking of the RMS Lusitania.
1915,"In the Banana Wars, the United States occupation of Haiti begins."
1915,"first large scale use of poison gas by both sides in World War I occurs, first by the Germans at the Battle of Humin-Bolimów on the eastern front, and at the Second Battle of Ypres on the western front, and then by the British at the Battle of Loos."
1916,The Allies' Gallipoli campaign ends in failure; heavy losses of Australian troops.
1916,Battle of Verdun.
1916,"Bayerische Flugzeugwerke, later to become BMW, is founded in Germany."
1916,–30: Easter Rising in Ireland.
1916,The first nationwide implementation of daylight saving time in the German Empire and Austria-Hungary.
1916,Brusilov offensive by Russia.
1916,The Warlord Era begins in China after the death of Yuan Shikai.
1916,The Arab Revolt begins.
1916,Battle of the Somme on Western Front; massive casualties.
1916,–22: First use of tanks at the Battle of Flers–Courcelette.
1916,The Pact is agreed upon by both the Congress and the Muslim League at the Indian city of Lucknow.
1916,Liberal David Lloyd George becomes Prime Minister of the United Kingdom.
1916,Grigori Rasputin is assassinated in Russia.
1916,"Square, one of the earliest shopping malls, opens in the Chicago metropolitan area."
1917,Russian Revolution ends the Russian Empire; beginning of Russian Civil War.
1917,USA joins the Entente for the last 17 months of World War I.
1917,"Apparitions of Our Lady of the Rosary in Fátima, Portugal."
1917,The first Pulitzer Prizes announced.
1917,Battle of Passchendaele.
1917,Battle of Caporetto.
1917,–2: The Third Battle of Gaza ends in British victory.
1917,(O.S. October 25): October Revolution in the Russian Republic.
1917,The Ukrainian–Soviet War begins.
1917,"The National Hockey League is formed in Montreal, Canada."
1917,Independence of Finland.
1917,first known sale of Girl Scout Cookies begins.
1918,Finnish Civil War.
1918,Ukraine declares independence from Russia.
1918,"Beginning of the Spanish flu pandemic, which lasts until April 1920 and kills tens of millions."
1918,The German spring offensive.
1918,Belarus declares independence from Russia.
1918,The Armenian–Azerbaijani War begins.
1918,Azerbaijan Democratic Republic declared.
1918,Mehmed VI becomes the last Sultan of the Ottoman Empire and the last Caliph.
1918,– 17: Assassination of Tsar Nicholas II and his family.
1918,– 12: Battle of Amiens.
1918,–November: The Hundred Days Offensive sends Germany into defeat.
1918,"the State of Slovenes, Croats and Serbs is established."
1918,German Revolution begins.
1918,"The Mutawakkilite Kingdom of Yemen founded.
The Partition of the Ottoman Empire begins."
