PCA Component 1,PCA Component 2
0.5082379,0.43247378
0.29185066,-0.47262058
0.08994738,0.805077
0.24222666,-0.14647837
-0.18124104,-0.4918217
0.77928853,0.84583956
-0.1049453,0.3993219
0.39402786,-0.036017288
0.24988815,0.55247205
-0.020330898,0.46675858
-0.30454403,-0.12164689
0.81762594,-0.7826474
-0.27579093,-0.46953583
-0.33564198,0.102430314
-0.27235836,0.5578701
-0.18244861,-0.23290287
0.627742,0.509637
0.10753674,-0.50672954
-0.14885622,0.11725149
-0.52332634,-0.2884773
-0.871974,-0.38493544
-0.07288555,0.6760018
0.41692546,-0.069085196
-0.008804601,0.42079923
0.15930471,-0.16207461
-0.10578305,0.28356484
0.5017169,-0.031038579
-1.069975,-0.08577432
-0.35418797,-0.43431088
0.7247252,0.54050195
-0.41977173,-0.0059330654
-0.46502104,-0.19734788
-1.321127,0.47413248
0.110463634,1.34079
0.8144315,-0.42398396
-0.708601,-0.17693947
-0.63597333,-0.09046247
0.29239565,0.8104008
-0.09860453,-0.27681646
-0.60674924,-0.06441544
-0.39580086,0.1628069
-0.63592577,-0.0026340105
0.35924765,-0.5886791
0.19408138,0.75554043
-0.5696425,-0.29769376
-0.1224555,-0.33327416
0.6881685,-0.51570725
-0.9463657,-0.72282344
-0.32865238,1.2747945
0.22734493,-0.026588054
0.99491197,-0.47427616
0.34628358,-1.4685653
0.09443418,0.7822089
-0.81363034,-0.2818909
0.2900441,0.4393327
1.2226703,-0.69895416
0.27367422,0.7109918
-0.6616137,-0.0817066
0.26018575,0.1935046
0.18356949,0.15839517
-1.0313553,-0.31693548
0.38840687,0.0053026974
0.66963226,0.8011059
-0.5562288,-0.11865117
-0.35446197,-0.27353045
0.2471315,0.42093495
0.6753138,-0.6738582
0.14684951,-0.48551214
0.6075056,1.0461869
0.06823121,0.36309874
-1.083728,0.4708689
-0.322868,0.21595034
-0.2993136,-0.14444973
-0.060482204,0.46276927
-0.398661,-0.17849378
0.2708217,-0.30274007
-0.7491589,-0.7589633
0.42267266,-0.29047823
-0.81168467,-0.15071627
-0.11526629,-0.08892384
-0.942947,-0.29709914
0.5762774,0.9576469
-0.3245747,-0.3016995
-0.47480077,-0.13053952
0.27834764,-0.043592945
-0.69705826,-0.23284005
0.73655814,1.983515
-0.6466984,0.07682965
-0.04503665,0.24254979
-0.56493723,-0.087581486
-0.18269426,0.040520713
-0.30129626,-0.08790637
0.37268707,0.10577859
-0.31428432,-0.2711641
-0.17602096,0.033176348
-0.24202101,0.022826558
-0.1680044,-0.11240447
0.38677776,0.23932591
0.0015415038,0.588849
-0.9674441,-0.1909612
-0.8953805,-0.0093540875
0.1708797,-0.072957724
-0.8589517,-0.14019969
0.8190968,-0.24273807
-0.7706494,-0.37665445
1.1134185,-0.6709695
-0.47201294,0.16689678
-0.09038332,0.065584116
-0.14836076,1.5307776
0.63005483,0.090073116
-0.34901395,-0.101072855
-0.6057804,-0.5488547
0.3211653,0.50023335
-0.7582005,0.75781626
0.20423657,0.42358607
-0.27094135,-0.04374426
-0.015749356,-0.21590254
0.26717004,-0.032127045
0.008296995,0.3721717
0.08463071,0.30888572
1.1574658,-0.27509356
0.35715383,0.16646706
0.60388064,-0.26114282
-0.21484634,0.4082852
0.15311587,0.5772946
0.30644292,-0.3435786
-0.5261471,0.1140125
-0.39954907,-0.67703533
0.036538985,0.37047017
0.9015142,-0.7694835
0.5176905,-0.07594365
-0.46508068,-0.23474103
0.35815555,0.5823022
-0.58727235,-0.3315966
0.34094167,0.11332997
1.2134413,-0.6327045
0.042739585,0.13492472
0.8244005,-0.15179405
0.40329596,-0.22200519
-1.7490555,-0.36161664
0.79821545,0.7434117
-0.7811946,1.008002
-0.58363235,0.022238519
0.29758713,-0.60145944
0.8965819,-0.8901853
0.014793156,-0.035939936
-0.91372675,-0.3112152
1.5631787,0.28319713
1.1279621,-0.013118753
-0.51407105,-0.13535781
0.04754883,-0.475595
0.2807786,-0.10921995
0.12321926,0.43063244
0.21728177,0.8282962
0.5559826,-0.07559181
-0.072368786,0.9192645
-0.6857436,-0.9644086
0.115332104,-0.29409984
0.87347215,-0.34278655
-0.2842871,-0.27116078
0.21547551,-0.15249301
-0.1279169,0.034402903
0.68848926,-0.6419542
-1.0197337,-0.30784366
-0.79034376,-0.3899043
0.6796875,0.17214109
-0.45524427,0.13556363
0.59177434,-0.7837087
-1.0183764,-0.0400665
0.45754287,1.0082005
0.14936526,0.74490595
0.73489445,-0.4331494
-0.08558097,0.9616249
-0.49801886,0.07716359
-0.78686064,1.058789e-05
0.45710844,-0.0058898423
-0.5968571,-0.5069573
-0.19559665,-0.75348663
-0.062702514,-0.19612412
0.097506255,-0.35488454
0.70411354,0.31548393
-0.52224493,-0.11401999
-0.12715286,-0.057636417
-0.3307931,-0.67042756
0.52062714,-1.3891971
-0.33279008,0.60778695
-0.62811464,0.15714015
-0.014577559,0.009739928
0.08171932,0.18038288
0.21770273,-0.13843773
-0.37831968,-0.011892613
0.68807316,-0.07085463
0.5841668,-0.53720593
-0.2444443,-0.5130924
0.95836145,-0.6239304
-0.0721573,1.6796819
0.8230341,-0.9140583
0.18354413,0.124445654
0.36523306,-0.42799225
0.32946068,0.0554271
-1.006654,-0.345738
-0.1779048,0.56643116
1.1437514,-0.3621701
0.75727934,-0.39850643
0.14414424,0.35749215
0.05799858,0.18460108
0.96482,-0.60205716
-0.50404024,0.304558
-0.66395545,-0.40575752
-0.4337448,0.070830144
1.0253408,-0.11158097
